,school_name,percent_with_no_valid_teaching_ceriticate,percent_teaching_out_of_certificate,percent_with_less_than_3_yrs_experience,percent_with_masters_and_30yrs_or_Doctorate,total_number_of_classes,percent_taught_by_teachers_without_appropriate_certificate
0,BARD HIGH SCHOOL EARLY COLLEGE,0,13,6,71,171,9
1,CASCADES HIGH SCHOOL,0,14,21,36,112,4
2,EAST SIDE COMMUNITY SCHOOL,0,64,7,57,268,47
3,FORSYTHE SATELLITE ACADEMY,0,0,25,38,20,5
4,LOWER EAST SIDE PREP HIGH SCHOOL,0,44,9,63,189,24
5,MARTA VALLE HIGH SCHOOL,0,0,25,31,68,0
6,"NEW EXPLORATIONS SCI, TECH & MATH ",1,17,21,32,515,12
7,ORCHARD COLLEGIATE ACADEMY,6,44,33,6,102,40
8,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,0,13,25,25,112,10
9,ACADEMY FOR SOFTWARE ENGINEERING,6,29,18,26,147,31
10,AMERICAN SIGN LANG & ENG SECONDAR,5,15,35,45,108,15
11,ART AND DESIGN HIGH SCHOOL,2,14,13,63,438,14
12,BARUCH COLLEGE CAMPUS HIGH SCHOOL,0,19,12,35,132,12
13,BUSINESS OF SPORTS SCHOOL,0,34,16,22,143,27
14,CHELSEA CAREER AND TECH ED HS,0,39,6,39,168,26
15,ELEANOR ROOSEVELT HIGH SCHOOL,0,24,6,53,173,17
16,EMMA LAZARUS HIGH SCHOOL,0,44,31,44,102,26
17,ESSEX STREET ACADEMY,0,19,4,26,124,28
18,FACING HISTORY SCHOOL (THE),3,3,12,18,254,7
19,FOOD AND FINANCE HIGH SCHOOL,0,0,13,50,110,2
20,GRAMERCY ARTS HIGH SCHOOL,6,24,21,30,144,15
21,HARVEST COLLEGIATE HIGH SCHOOL,5,43,18,40,247,29
22,HARVEY MILK HIGH SCHOOL,0,10,30,10,67,7
23,HIGH SCH OF FASHION INDUSTRIES (THE),1,11,15,47,449,10
24,HIGH SCHOOL OF ECONOMICS & FINANCE,3,26,13,42,191,23
25,HIGH SCHOOL OF HOSPITALITY MGMNT,0,37,4,30,157,31
26,HIGH SCHOOL-LANGUAGE AND DIPLOMACY,6,45,26,29,195,31
27,HS 560 CITY-AS-SCHOOL,0,11,0,80,92,11
28,HS FOR ENVIRONMENTAL STUDIES ,3,14,17,42,355,11
29,HS-DUAL LANGUAGE & ASIAN STUDIES,0,15,8,62,129,12
30,HS-HEALTH PROFESSIONS & HUMAN SVCS,1,21,4,51,442,15
31,HUDSON HS OF LEARNING TECHNOLOGIES,6,74,3,34,226,57
32,HUMANITIES PREP ACADEMY,0,62,0,46,63,37
33,INDEPENDENCE HIGH SCHOOL,6,28,28,17,79,20
34,INST FOR COLLABORATIVE EDUCATION,0,19,19,35,105,15
35,INTERNATIONAL HS AT UNION SQUARE,0,33,7,48,179,28
36,JACQUELINE KENNEDY-ONASSIS HIGH SCH ,11,45,26,39,221,32
37,JAMES BALDWIN SCHOOL (THE),6,56,11,78,70,54
38,JHS 104 SIMON BARUCH ,3,13,18,40,354,15
39,LANDMARK HIGH SCHOOL,0,70,4,44,173,40
40,LEADERSHIP & PUBLIC SERVICE HIGH SCH,0,14,6,42,165,13
41,LIBERTY HIGH SCH ACAD-NEWCOMERS,0,20,16,56,123,15
42,LIFE SCIENCES SECONDARY SCHOOL,4,27,9,44,223,17
43,LOWER MANHATTAN ARTS ACADEMY,8,92,4,56,183,63
44,MANHATTAN ACAD-ARTS AND LANGUAGE,5,32,23,41,102,25
45,MANHATTAN BRIDGES HIGH SCHOOL,0,6,13,68,143,6
46,MANHATTAN BUSINESS ACADEMY,0,48,41,33,141,39
47,MANHATTAN COMP NIGHT AND DAY HS,0,17,0,64,186,15
48,MANHATTAN INTERNATIONAL HIGH SCHOOL,0,29,14,43,62,27
49,MANHATTAN VILLAGE ACADEMY,0,12,19,38,131,8
50,MILLENNIUM HIGH SCHOOL,0,21,8,58,180,23
51,MURRAY HILL ACADEMY,0,15,22,56,108,10
52,MURRY BERGTRAUM HS FOR BUS CAR,3,53,0,59,215,38
53,NEW DESIGN HIGH SCHOOL,0,27,14,27,153,27
54,NYC ISCHOOL,6,29,13,45,130,34
55,NYC LAB HS-COLLABORATIVE STUDIES,0,27,11,59,201,23
56,NYC MUSEUM SCHOOL,0,4,4,54,115,6
57,PACE HIGH SCHOOL,0,24,12,47,140,19
58,PROFESSIONAL PERF ARTS HIGH SCHOOL,0,67,0,59,147,41
59,PS 158 BAYARD TAYLOR,2,8,25,40,276,7
60,PS 183 ROBERT L STEVENSON,0,3,8,39,186,4
61,QUEST TO LEARN,0,27,20,25,248,21
62,REPERTORY COMPANY HS FOR THEATRE ART,0,25,25,31,96,13
63,RICHARD R GREEN HS OF TEACHING,0,31,6,49,165,21
64,SATELLITE ACADEMY HIGH SCHOOL,0,23,0,54,72,25
65,SCHOOL OF THE FUTURE HIGH SCHOOL,2,19,13,33,196,14
66,STEPHEN T MATHER BLDG ARTS-CRAFTSMAN,18,47,29,15,147,40
67,STUYVESANT HIGH SCHOOL,0,6,7,70,859,5
68,TALENT UNLIMITED HIGH SCHOOL,0,13,3,45,164,9
69,UNION SQUARE ACAD FOR HEALTH SCIENCE,10,34,38,31,143,36
70,UNITY CENTER FOR URBAN TECHNOLOGIES,14,57,57,21,85,45
71,URBAN ACAD LABORATORY HIGH SCHOOL,0,0,0,53,16,0
72,URBAN ACADEMY-GOVERNMENT & LAW,4,21,29,8,136,20
73,URBAN ASSEMBLY GATEWAY SCHOOL-TECH,3,28,16,44,161,27
74,URBAN ASSEMBLY MAKER ACADEMY,0,40,40,10,123,37
75,URBAN ASSEMBLY NY HARBOR SCHOOL,0,43,14,34,197,39
76,URBAN ASSEMBLY-EMERGENCY MANAGEMENT,13,65,13,30,149,49
77,URBAN ASSMBLY SCH-DESIGN & CONST,8,58,23,23,161,42
78,URBAN SCH-BUSINESS-YNG WOMEN,5,37,26,47,96,26
79,VANGUARD HIGH SCHOOL,0,24,6,36,114,26
80,BEACON HIGH SCHOOL,0,18,5,60,339,24
81,EDWARD A REYNOLDS WEST SIDE HS,0,8,11,54,108,7
82,FIORELLO H LAGUARDIA HIGH SCHOOL,0,7,9,66,713,7
83,FRANK MCCOURT HIGH SCHOOL,0,13,13,42,164,7
84,FREDERICK DOUGLASS ACADEMY II,21,43,50,18,164,34
85,GLOBAL LEARNING COLLABORATIVE (THE),3,10,10,52,129,9
86,HIGH SCHOOL OF ARTS AND TECHNOLOGY,3,21,3,50,203,22
87,HS FOR LAW ADVCY & COMM JUST,0,13,6,50,135,9
88,INNOVATION DIPLOMA PLUS,0,46,15,54,78,31
89,MANHATTAN/HUNTER SCIENCE HIGH SCHOOL,0,12,12,40,130,5
90,MAXINE GREENE HS-IMAGINATIVE INQUIRY,4,33,37,33,146,28
91,PS 87 WILLIAM SHERMAN,0,0,7,55,116,0
92,SPECIAL MUSIC SCHOOL,0,30,22,52,106,28
93,URBAN ASSEMBLY FOR GREEN CAREERS,11,59,30,19,205,51
94,URBAN ASSMBLY SCH-MEDIA STUDIES,8,27,15,15,146,23
95,WADLEIGH PERF AND VISUAL ARTS,3,14,8,44,130,16
96,CENTRAL PARK EAST HIGH SCHOOL,0,16,10,61,129,17
97,ESPERANZA PREPARATORY ACADEMY,7,17,22,17,177,19
98,HERITAGE SCHOOL (THE),4,16,12,48,115,17
99,MANHATTAN CENTER-SCIENCE & MATH,4,17,16,55,400,16
100,PARK EAST HIGH SCHOOL,3,52,6,35,201,33
101,YOUNG WOMEN'S LEADERSHIP SCHOOL,6,25,19,38,154,23
102,COLUMBIA SECONDARY SCHOOL,5,7,10,44,153,8
103,FREDERICK DOUGLASS ACADEMY,2,12,4,48,360,8
104,HARLEM RENAISSANCE HIGH SCHOOL,0,0,21,43,56,4
105,HS MATH SCI & ENGNRNG AT CCNY,0,14,0,69,161,11
106,MOTT HALL HIGH SCHOOL,0,35,10,35,95,36
107,THURGOOD MARSHALL ACAD FOR LEARNING,0,46,9,51,194,27
108,URBAN ASSEMBLY FOR THE PERFORM ARTS,10,50,25,25,122,44
109,URBAN ASSEMBLY-GLOBAL COMMERCE,8,54,46,21,150,44
110,A PHILIP RANDOLPH CAMPUS HIGH SCHOOL,1,18,8,58,383,14
111,CITY COLLEGE ACADEMY OF THE ARTS,0,24,15,53,152,28
112,COLLEGE ACADEMY (THE),0,46,4,50,120,34
113,COMMUNITY HEALTH ACAD OF THE HEIGHTS,0,18,20,27,212,15
114,GREGORIO LUPERON HS-SCI & MATH,4,22,11,59,138,14
115,HIGH SCH-EXCELLENCE AND INNOVATION,5,38,10,57,84,38
116,HIGH SCHOOL-HEALTH CAREERS & SCIES,8,19,19,42,194,16
117,HIGH SCHOOL-LAW & PUBLIC SERVICE ,0,12,0,55,171,9
118,HIGH SCHOOL-MEDIA & COMMUNICATIONS ,0,28,4,56,114,22
119,WASHINGTON HGTS EXPEDITIONARY LEARN,4,46,17,43,275,43
120,ALFRED E SMITH CAREER-TECH HIGH SCH,0,29,9,46,251,18
121,BRONX DESIGN-CONSTRUCTION ACADEMY,2,37,2,49,150,31
122,BRONX HAVEN HIGH SCHOOL,8,31,15,23,39,26
123,BRONX LEADERSHIP ACAD II HIGH SCHOOL,8,8,44,17,143,10
124,CAREERS IN SPORTS HS,3,22,11,41,171,22
125,COMMUNITY SCHOOL-SOCIAL JUSTICE,5,9,14,41,95,14
126,HEALTH OPPORTUNITIES HIGH SCHOOL,0,19,9,34,158,15
127,HERO HIGH SCHOOL,6,81,48,29,232,50
128,HOSTOS-LINCOLN ACADEMY OF SCIENCE,0,53,6,53,188,36
129,INTERNATIONAL COMMUNITY HIGH SCHOOL,0,0,8,50,107,1
130,JILL CHAIFETZ TRANSFER HIGH SCHOOL,0,54,8,38,74,39
131,LAB SCHOOL OF FIN & TECH: X223,12,35,29,21,156,31
132,MOTT HAVEN COMMUNITY HIGH SCHOOL,5,19,0,52,79,14
133,MOTT HAVEN VILLAGE PREP HIGH SCHOOL,4,16,24,44,141,17
134,SOUTH BRONX PREPARATORY,2,21,31,27,192,21
135,UNIVERSITY HEIGHTS SECONDARY SCHOOL,13,22,9,39,146,18
136,URBAN ASSEMBLY BRONX OF LETTERS,10,46,26,14,258,36
137,ANTONIA PANTOJA PREP ACADEMY,0,56,6,34,205,42
138,"ARCHIMEDES ACAD-MATH, SCI, TECH",2,15,13,40,245,13
139,BRONX ARENA HIGH SCHOOL,0,13,13,20,60,15
140,BRONX BRIDGES HIGH SCHOOL,4,21,39,25,161,20
141,BRONX COMMUNITY HIGH SCHOOL,0,29,0,57,80,34
142,BRONX COMPASS HIGH SCHOOL,6,70,27,30,205,46
143,BRONX RIVER HIGH SCHOOL,3,45,38,34,161,40
144,BRONX STUDIO SCHOOL-WRITERS-ARTISTS,7,40,30,21,215,26
145,GOTHAM COLLABORATIVE HIGH SCHOOL,6,22,17,22,82,22
146,HERBERT H LEHMAN HIGH SCHOOL,0,11,13,31,261,8
147,HUNTS POINT SCHOOL (THE),8,28,24,28,102,22
148,LONGWOOD PREPARATORY ACADEMY,0,53,37,26,97,43
149,MILLENIUM ART ACADEMY,0,0,3,43,153,3
150,PELHAM LAB HIGH SCHOOL,3,70,40,33,183,48
151,RENAISSANCE HIGH SCHOOL-MTA,4,30,15,33,159,21
152,SCHOOL FOR TOURISM AND HOSPITALITY,4,42,13,46,105,37
153,SCHUYLERVILLE PREP HIGH SCHOO,0,48,8,52,169,31
154,WESTCHESTER SQUARE ACADEMY,6,28,22,17,184,26
155,WOMEN'S ACADEMY OF EXCELLENCE,0,17,13,43,125,19
156,ACADEMY FOR LANGUAGE AND TECHNOLOGY,9,26,52,13,91,22
157,BRONX CENTER FOR SCI & MATH,0,69,10,48,203,47
158,BRONX COLLEGIATE ACADEMY,0,54,15,31,173,46
159,BRONX EARLY COL ACAD-TEACH/LEARN,6,63,40,20,207,53
160,BRONX HIGH SCHOOL OF BUSINESS,0,12,12,52,133,9
161,BRONX HS FOR MEDICAL SCIENCE,0,57,7,21,160,30
162,BRONX INTERNATIONAL HIGH SCHOOL,0,53,0,63,180,43
163,BRONX LEADERSHIP ACAD HIGH SCHOOL,9,33,24,15,156,34
164,"BRONX SCHOOL FOR LAW, GOV, JUSTICE",7,56,30,30,303,44
165,BRONX WRITING ACADEMY,8,41,30,32,140,39
166,CLAREMONT INTERNATIONAL HS,4,50,19,31,165,34
167,COMP MODEL SCH PROJECT MS 327,2,46,4,27,282,32
168,DREAMYARD PREPARATORY SCHOOL,0,18,27,23,126,10
169,EAGLE ACADEMY FOR YOUNG MEN,3,18,8,32,180,17
170,EXIMIUS COLLEGE PREP ACADEMY,7,53,7,23,202,44
171,FREDERICK DOUGLASS ACAD III,7,41,19,22,119,29
172,HIGH SCHOOL FOR VIOLIN AND DANCE,0,19,0,50,85,11
173,MORRIS ACADEMY FOR COLLA STUDIES,6,19,22,31,192,15
174,MOTT HALL BRONX HIGH SCHOOL,12,40,40,24,109,36
175,NEW DIRECTIONS SECONDARY SCHOOL,4,31,15,31,142,21
176,NEW MILLENNIUM BRONX ACAD ARTS,13,40,13,27,63,27
177,SCHOOL FOR EXCELLENCE ,0,25,0,46,90,18
178,URBAN ASSMBLY SCHOOL-APPL MATH,12,49,37,20,218,46
179,VALIDUS PREP ACADEMY,9,61,13,48,149,53
180,BELMONT PREPARATORY HIGH SCHOOL,3,31,10,45,137,28
181,BRONX ACAD FOR SOFTWARE ENGINEERING,10,71,16,16,216,55
182,BRONX COLLABORATIVE HIGH SCHOOL,3,17,22,17,242,14
183,BRONX ENG & TECH ACADEMY,0,20,0,40,138,12
184,BRONX HIGH SCHOOL OF SCIENCE,2,6,11,59,669,4
185,BRONX HIGH SCHOOL-LAW & COMM SVC,0,14,14,48,145,9
186,BRONX SCHOOL OF LAW & FINANCE,4,29,13,58,114,24
187,BRONX THEATRE HIGH SCHOOL,0,52,4,60,168,29
188,CELIA CRUZ BRONX HS OF MUSIC (THE),7,24,17,45,167,23
189,CROTONA INTERNATIONAL HIGH SCHOOL,5,35,25,50,85,20
190,DEWITT CLINTON HIGH SCHOOL,1,28,9,68,414,20
191,DISCOVERY HIGH SCHOOL,0,29,29,39,170,20
192,ENGLISH LANGUAGE LEARNERS-INTER SUPP,0,41,23,41,55,42
193,FORDHAM HIGH SCHOOL FOR THE ARTS,11,33,48,7,114,28
194,FORDHAM LEADERSHIP ACADEMY,10,23,47,27,150,25
195,HIGH SCHOOL FOR ENERGY AND TECHNOLOG,0,10,16,45,222,11
196,HS AMER STUDIES AT LEHMAN COLL,0,4,0,71,121,2
197,HS FOR TEACHING AND PROFESSIONS,0,22,0,44,160,19
198,IN-TECH ACADEMY (MS/HS 368),2,34,8,47,307,25
199,INTERNATIONAL SCHOOL FOR LIBERAL ART,3,35,18,48,237,25
200,KINGSBRIDGE INTERNATIONAL HS,0,17,8,50,100,16
201,"KNOWLEDGE, POWER PREP ACAD INTER HS",5,18,30,33,166,18
202,MARBLE HILL HS-INTRNTNL STUDIES,3,20,17,63,120,20
203,MARIE CURIE HIGH SCHOOL-NURSING,0,3,9,46,168,4
204,MS 390,3,34,23,46,151,34
205,PULSE HIGH SCHOOL,0,57,0,50,109,44
206,RIVERDALE/KINGSBRIDGE (MS/HS 141),1,15,11,43,509,8
207,THEATRE ARTS PROD COMPANY SCHOOL,0,4,22,39,237,7
208,WEST BRONX ACAD FOR THE FUTURE,7,24,22,33,227,16
209,WORLD VIEW HIGH SCHOOL,0,55,42,24,195,47
210,ACAD-SCHOLARSHIP & ENTREPRENEURSHIP,0,59,14,55,159,31
211,ASTOR COLLEGIATE ACADEMY,4,11,7,44,137,11
212,BRONX ACADEMY OF HEALTH CAREERS,0,7,19,52,146,5
213,BRONX AEROSPACE HIGH SCHOOL,13,33,8,46,129,31
214,BRONX HEALTH SCIENCES HIGH SCHOOL,5,16,16,58,87,15
215,BRONX HIGH SCH-WRITING & COMM ARTS,5,41,18,32,99,29
216,BRONX HIGH SCHOOL FOR THE VISUAL ART,3,58,3,48,209,40
217,BRONX LAB SCHOOL,6,36,12,36,134,29
218,BRONXDALE HIGH SCHOOL,0,14,24,17,138,9
219,BRONXWOOD PREP ACADEMY (THE),0,31,19,23,134,25
220,COLLEGIATE INST FOR MATH & SCI,3,23,17,57,171,23
221,HARRY S TRUMAN HIGH SCHOOL,4,16,14,51,512,15
222,HIGH SCHOOL FOR CONTEMPORARY ARTS,0,38,0,58,153,24
223,HIGH SCHOOL-COMPUTERS & TECHNOLOGY,0,15,4,37,119,12
224,HS FOR LANGUAGE-INNOVATION,0,11,25,29,133,9
225,LEADERS OF TOMORROW,3,59,25,34,172,40
226,NEW WORLD HIGH SCHOOL,0,17,0,48,136,10
227,PELHAM PREPARATORY ACADEMY,4,18,4,50,151,13
228,ARTURO A SCHOMBURG SATTELLITE-BRONX,0,18,36,18,44,18
229,BRONX CAREER AND COLLEGE PREP HS,0,40,20,32,144,24
230,BRONX ENVISION ACADEMY,0,22,19,53,197,23
231,BRONX LATIN SCHOOL,7,58,29,31,262,46
232,BRONX REGIONAL HIGH SCHOOL,0,31,0,85,88,23
233,CINEMA SCHOOL (THE),5,14,10,29,109,9
234,EAST BRONX ACADEMY FOR THE FUTURE,4,21,13,26,214,14
235,EXPLORATIONS ACADEMY HS,4,31,27,23,103,31
236,FANNIE LOU HAMER FREEDOM HS,0,13,10,42,117,17
237,HIGH SCHOOL OF WORLD CULTURES,0,30,40,33,184,28
